Classifier,Noise Level,Seed,Metric,Value
MLP Classifier,0.0,7,recall_score,1.0
MLP Classifier,0.0,7,f1_score,1.0
MLP Classifier,0.05,7,accuracy_score,1.0
MLP Classifier,0.05,7,precision_score,1.0
MLP Classifier,0.05,7,recall_score,1.0
MLP Classifier,0.05,7,f1_score,1.0
MLP Classifier,0.1,7,accuracy_score,0.9875
MLP Classifier,0.1,7,precision_score,0.9772727272727273
MLP Classifier,0.1,7,recall_score,1.0
MLP Classifier,0.1,7,f1_score,0.9885057471264368
MLP Classifier,0.15,7,accuracy_score,0.9875
MLP Classifier,0.15,7,precision_score,1.0
MLP Classifier,0.15,7,recall_score,0.9767441860465116
MLP Classifier,0.15,7,f1_score,0.9882352941176471
MLP Classifier,0.2,7,accuracy_score,0.9875
MLP Classifier,0.2,7,precision_score,1.0
MLP Classifier,0.2,7,recall_score,0.9767441860465116
MLP Classifier,0.2,7,f1_score,0.9882352941176471
CatBoost,0.0,7,accuracy_score,0.8125
CatBoost,0.0,7,precision_score,0.7916666666666666
CatBoost,0.0,7,recall_score,0.8837209302325582
CatBoost,0.0,7,f1_score,0.8351648351648352
CatBoost,0.05,7,accuracy_score,0.8125
CatBoost,0.05,7,precision_score,0.7916666666666666
CatBoost,0.05,7,recall_score,0.8837209302325582
CatBoost,0.05,7,f1_score,0.8351648351648352
CatBoost,0.1,7,accuracy_score,0.75
CatBoost,0.1,7,precision_score,0.7446808510638298
CatBoost,0.1,7,recall_score,0.813953488372093
CatBoost,0.1,7,f1_score,0.7777777777777778
CatBoost,0.15,7,accuracy_score,0.7375
CatBoost,0.15,7,precision_score,0.7291666666666666
CatBoost,0.15,7,recall_score,0.813953488372093
CatBoost,0.15,7,f1_score,0.7692307692307693
CatBoost,0.2,7,accuracy_score,0.8
CatBoost,0.2,7,precision_score,0.7872340425531915
CatBoost,0.2,7,recall_score,0.8604651162790697
CatBoost,0.2,7,f1_score,0.8222222222222222
Bagging,0.0,8,accuracy_score,0.7875
Bagging,0.0,8,precision_score,0.7575757575757576
Bagging,0.0,8,recall_score,0.7352941176470589
Bagging,0.0,8,f1_score,0.746268656716418
Bagging,0.05,8,accuracy_score,0.8
Bagging,0.05,8,precision_score,0.75
Bagging,0.05,8,recall_score,0.7941176470588235
Bagging,0.05,8,f1_score,0.7714285714285715
Bagging,0.1,8,accuracy_score,0.7875
Bagging,0.1,8,precision_score,0.7575757575757576
Bagging,0.1,8,recall_score,0.7352941176470589
Bagging,0.1,8,f1_score,0.746268656716418
Bagging,0.15,8,accuracy_score,0.7625
Bagging,0.15,8,precision_score,0.7777777777777778
Bagging,0.15,8,recall_score,0.6176470588235294
Bagging,0.15,8,f1_score,0.6885245901639344
Bagging,0.2,8,accuracy_score,0.8
Bagging,0.2,8,precision_score,0.8
Bagging,0.2,8,recall_score,0.7058823529411765
Bagging,0.2,8,f1_score,0.75
MLP Classifier,0.0,8,accuracy_score,0.9875
MLP Classifier,0.0,8,precision_score,1.0
MLP Classifier,0.0,8,recall_score,0.9705882352941176
MLP Classifier,0.0,8,f1_score,0.9850746268656716
MLP Classifier,0.05,8,accuracy_score,0.9875
MLP Classifier,0.05,8,precision_score,1.0
MLP Classifier,0.05,8,recall_score,0.9705882352941176
MLP Classifier,0.05,8,f1_score,0.9850746268656716
MLP Classifier,0.1,8,accuracy_score,0.9875
MLP Classifier,0.1,8,precision_score,1.0
MLP Classifier,0.1,8,recall_score,0.9705882352941176
MLP Classifier,0.1,8,f1_score,0.9850746268656716
MLP Classifier,0.15,8,accuracy_score,0.975
MLP Classifier,0.15,8,precision_score,0.9705882352941176
MLP Classifier,0.15,8,recall_score,0.9705882352941176
MLP Classifier,0.15,8,f1_score,0.9705882352941176
MLP Classifier,0.2,8,accuracy_score,0.975
MLP Classifier,0.2,8,precision_score,0.9705882352941176
MLP Classifier,0.2,8,recall_score,0.9705882352941176
MLP Classifier,0.2,8,f1_score,0.9705882352941176
CatBoost,0.0,8,accuracy_score,0.8625
CatBoost,0.0,8,precision_score,0.7948717948717948
CatBoost,0.0,8,recall_score,0.9117647058823529
CatBoost,0.0,8,f1_score,0.8493150684931506
CatBoost,0.05,8,accuracy_score,0.85
CatBoost,0.05,8,precision_score,0.8055555555555556
CatBoost,0.05,8,recall_score,0.8529411764705882
CatBoost,0.05,8,f1_score,0.8285714285714286
CatBoost,0.1,8,accuracy_score,0.8
CatBoost,0.1,8,precision_score,0.75
CatBoost,0.1,8,recall_score,0.7941176470588235
CatBoost,0.1,8,f1_score,0.7714285714285715
CatBoost,0.15,8,accuracy_score,0.8125
CatBoost,0.15,8,precision_score,0.7567567567567568
CatBoost,0.15,8,recall_score,0.8235294117647058
CatBoost,0.15,8,f1_score,0.7887323943661971
CatBoost,0.2,8,accuracy_score,0.85
CatBoost,0.2,8,precision_score,0.7894736842105263
CatBoost,0.2,8,recall_score,0.8823529411764706
CatBoost,0.2,8,f1_score,0.8333333333333334
Bagging,0.0,9,accuracy_score,0.7125
Bagging,0.0,9,precision_score,0.6842105263157895
Bagging,0.0,9,recall_score,0.7027027027027027
Bagging,0.0,9,f1_score,0.6933333333333334
Bagging,0.05,9,accuracy_score,0.7125
Bagging,0.05,9,precision_score,0.7058823529411765
Bagging,0.05,9,recall_score,0.6486486486486487
Bagging,0.05,9,f1_score,0.676056338028169
Bagging,0.1,9,accuracy_score,0.6625
Bagging,0.1,9,precision_score,0.6666666666666666
Bagging,0.1,9,recall_score,0.5405405405405406
Bagging,0.1,9,f1_score,0.5970149253731343
Bagging,0.15,9,accuracy_score,0.6875
Bagging,0.15,9,precision_score,0.6666666666666666
Bagging,0.15,9,recall_score,0.6486486486486487
Bagging,0.15,9,f1_score,0.6575342465753424
